timestamp_proc,cam_id,cam_name,img_timestamp,status,detail
2026-06-04T20:21:42.202939,8209,CAM 5,1780401600,OK,
2026-06-04T20:21:42.417931,8209,CAM 5,1780488000,OK,
2026-06-04T20:21:42.625989,8209,CAM 5,1780574400,OK,
2026-06-04T20:21:42.973387,8210,CAM 6,1780401600,OK,
2026-06-04T20:21:43.125615,8210,CAM 6,1780488000,OK,
2026-06-04T20:21:43.296832,8210,CAM 6,1780574400,OK,
2026-06-04T20:21:43.610031,8211,CAM 4,1780401600,OK,
2026-06-04T20:21:43.819499,8211,CAM 4,1780488000,OK,
2026-06-04T20:21:43.974007,8211,CAM 4,1780574400,OK,
2026-06-04T20:21:44.306015,8212,CAM 3,1780401600,OK,
2026-06-04T20:21:44.520980,8212,CAM 3,1780488000,OK,
2026-06-04T20:21:44.739362,8212,CAM 3,1780574400,OK,
2026-06-04T20:21:44.999740,8213,CAM 1,1780401600,OK,
2026-06-04T20:21:45.156603,8213,CAM 1,1780488000,OK,
2026-06-04T20:21:45.332165,8213,CAM 1,1780574400,OK,
2026-06-04T20:21:45.639763,8214,CAM 2,1780401600,OK,
2026-06-04T20:21:45.857602,8214,CAM 2,1780488000,OK,
2026-06-04T20:21:46.044775,8214,CAM 2,1780574400,OK,
2026-06-04T20:25:44.852076,8209,CAM 5,1779537600,OK,
2026-06-04T20:25:45.013038,8209,CAM 5,1779624000,OK,
2026-06-04T20:25:45.180583,8209,CAM 5,1779710400,OK,
2026-06-04T20:25:45.360593,8209,CAM 5,1779796800,OK,
2026-06-04T20:25:45.526340,8209,CAM 5,1779883200,OK,
2026-06-04T20:25:45.690172,8209,CAM 5,1779969600,OK,
2026-06-04T20:25:45.864109,8209,CAM 5,1780056000,OK,
2026-06-04T20:25:46.049260,8209,CAM 5,1780142400,OK,
2026-06-04T20:25:46.219116,8209,CAM 5,1780228800,OK,
2026-06-04T20:25:46.403145,8209,CAM 5,1780315200,OK,
2026-06-04T20:25:46.744348,8210,CAM 6,1779537600,OK,
2026-06-04T20:25:46.910693,8210,CAM 6,1779624000,OK,
2026-06-04T20:25:47.111751,8210,CAM 6,1779710400,OK,
2026-06-04T20:25:47.278016,8210,CAM 6,1779796800,OK,
2026-06-04T20:25:47.429720,8210,CAM 6,1779883200,OK,
