,,,,IMG,,UTM,,,,,,,,
ID,CAMERA,FILE,COLOR,X,Y,X,Y,,,,,,,
25,CAM2,20260512_1045,A,792,1470,"706472,649","4219269,232",,,,,,,
26,CAM2,20260512_1045,A,915,1494,"706474,326","4219256,047",,,,,,,
27,CAM2,20260512_1045,A,1015,1552,"706472,444","4219235,359",,,,,,,
28,CAM2,20260512_1045,A,1045,1575,"706471,513","4219227,049",,,,,,,
29,CAM2,20260512_1045,FIJO,657,1467,"706467,695","4219268,938",,,,,,,
30,CAM2,20260512_1045,FIJO,736,1863,"706454,654","4219181,836",,,,,,,
31,CAM2,20260512_1045,FIJO,826,1939,"706454,737","4219175,814",,,,,,,
32,CAM2,20260512_1045,FIJO,869,2580,"706449,966","4219150,278",,,,,,,
33,CAM2,20260526_0850,A,695,1727,"706456,706","4219197,54",,,,,,,
34,CAM2,20260526_0850,V,741,1862,"706454,915","4219182,643",,,,,,,
35,CAM2,20260526_0850,A,772,1972,"706453,688","4219173,658",,,,,,,
36,CAM2,20260526_0850,A,828,2192,"706451,983","4219161,871",,,,,,,
37,CAM2,20260526_0850,A,953,1402,"706490,45","4219318,321",,,,,,,
38,CAM2,20260526_0850,A,1239,1519,"706484,819","4219251,226",,,,,,,
39,CAM2,20260526_0850,V,1282,1573,"706480,388","4219232,297",,,,,,,
1,CAM3,20260513_0715,A,365,2117,"706397,278","4218092,48",,,,,,,
2,CAM3,20260513_0715,A,870,2011,"706396,423","4218085,153",,,,,,,
3,CAM3,20260513_0715,A,1272,1937,"706395,462","4218078,064",,,,,,,
4,CAM3,20260513_0715,V,1645,1867,"706393,812","4218070,048",,,,,,,
5,CAM3, 20260513_0715,V,1999,1784,"706393,54","4218057,606",,,,,,,
6,CAM3,20260513_0715,A,2274,1721,"706392,887","4218045,241",,,,,,,
7,CAM3,20260513_0715,V,2472,1669,"706393,554","4218030,627",,,,,,,
8,CAM3,20260513_0715,A,2642,1631,"706393,138","4218017,185",,,,,,,
9,CAM3,20260513_0715,A,2784,1604,"706392,09","4218005,467",,,,,,,
10,CAM3,20260513_0730,V,235,2259,"706391,994","4218097,778",,,,,,,
11,CAM3,20260513_0730,A,736,2184,"706389,854","4218093,196",,,,,,,
12,CAM3,20260513_0730,A,1197,2040,"706390,39","4218085,383",,,,,,,
13,CAM3,20260513_0730,A,1547,1961,"706389,577","4218078,858",,,,,,,
14,CAM3,20260513_0730,V,1890,1890,"706388,304","4218070,848",,,,,,,
15,CAM3,20260513_0730,V,2200,1789,"706388,744","4218057,515",,,,,,,
16,CAM3,20260513_0730,A,2456,1732,"706388,044","4218045,264",,,,,,,
17,CAM3,20260513_0730,V,2628,1676,"706388,728","4218031,073",,,,,,,
18,CAM3,20260513_0730,A,2843,1634,"706386,233","4218017,871",,,,,,,
19,CAM3,20260513_0730,A,2973,1605,"706385,189","4218005,453",,,,,,,
20,CAM3,20260513_0745,V,1478,2124,"706381,844","4218089,713",,,,,,,
21,CAM3,20260513_0745,V,2526,1799,"706381,011","4218057,804",,,,,,,
22,CAM3,20260513_0745,V,2800,1727,"706379,758","4218043,511",,,,,,,
23,CAM3,20260513_0745,A,2668,2367,"706365,412","4218094,106",,,,,,,
24,CAM3,20260513_0745,A,2994,1808,"706371,647","4218056,834",,,,,,,
25,CAM3,20260513_0745,A,3090,1680,"706375,808","4218029,196",,,,,,,
26,CAM3,20260513_0745,A,3113,1611,"706379,984","4218005,694",,,,,,,
27,CAM3,20260513_0745,A,3225,1743,"706369,976","4218042,346",,,,,,,
28,CAM3,20260513_0745,A,3518,1626,"706366,628","4218011,199",,,,,,,
29,CAM3,20260504_1200,FIJO,3553,2382,"706359,144","4218091,892",,,,,,,
30,CAM3,20260504_1200,FIJO,2626,2010,"706371,503","4218079,106",,,,,,,
31,CAM3,20260504_1200,FIJO,2394,2112,"706372,096","4218085,564",,,,,,,
32,CAM3,20260504_1200,FIJO,2074,2251,"706372,56","4218092,33",,,,,,,
33,CAM3,20260504_1200,FIJO,1631,2452,"706373,229","4218098,813",,,,,,,
34,CAM3,20260504_1200,FIJO,3988,1815,"706355,084","4218056,264",,,,,,,
35,CAM3,20260504_1200,FIJO,4505,1826,"706347,22","4218054,334",,,,,,,
36,CAM3,20260504_1200,FIJO,4083,1643,"706352,098","4218014,669",,,,,,,
37,CAM3,20260504_1200,FIJO,3848,1636,"706357,524","4218012,744",,,,,,,
40,CAM3,20260504_1200,FIJO,4242,1615,"706347,194","4217998,568",,,,,,,
